product_id,item_name,category,flavor,description,weight,serves,calories,price,dietary,occasion,taste_profile,recommendation,available_quantity,discount
101,Chocolate Truffle Cake,Cake,Chocolate,"A decadent chocolate truffle cake made with rich velvety chocolate, smooth cream and a luxurious chocolate coating. An irresistible choice for true chocolate lovers.",500 g,5,1800,550,Eggless,Birthday; Anniversary; Celebration,Rich; Chocolaty; Creamy,Chocolate Lovers; Birthday,5,20
102,Black Forest Cake,Cake,Chocolate & Cherry,"A classic Black Forest delight featuring soft chocolate sponge, luscious whipped cream and juicy cherries, creating a delicious combination of rich chocolate and refreshing fruity flavor.",500 g,5,1600,500,Eggless,Birthday; Anniversary; Celebration,Chocolate; Fruity; Creamy,Birthday; Fruit Lovers,6,10
103,Red Velvet Cake,Cake,Red Velvet,A beautifully soft and moist red velvet cake with delicate cocoa flavor and smooth creamy frosting. Elegant and indulgent.,500 g,5,1750,600,Eggless,Birthday; Anniversary; Romantic,Creamy; Mild Cocoa; Smooth,Anniversary; Romantic Celebration,3,0
104,Butterscotch Cake,Cake,Butterscotch,"A delightful butterscotch cake made with soft sponge, creamy layers and crunchy caramelized butterscotch pieces. A wonderful balance of sweetness and crunch.",500 g,5,1650,500,Eggless,Birthday; Celebration; Party,Caramel; Creamy; Crunchy,Birthday; Caramel Lovers,0,0
105,Pineapple Cake,Cake,Pineapple,"A light and refreshing pineapple cake made with soft sponge, creamy frosting and delicious pineapple pieces. Fruity, fresh and wonderfully satisfying.",500 g,5,1450,450,Eggless,Birthday; Celebration; Party,Fruity; Fresh; Creamy,Fruit Lovers; Light Dessert,4,5
106,Vanilla Cake,Cake,Vanilla,A timeless classic made with soft fluffy vanilla sponge and smooth creamy frosting. Delicately sweet and elegant.,500 g,5,1500,400,Eggless,Birthday; Celebration; Party,Vanilla; Creamy; Mild,Classic Choice; Birthday,2,20
107,Strawberry Cake,Cake,Strawberry,"A delightful strawberry cake made with fluffy sponge, creamy frosting and the fresh sweet flavor of strawberries. Light, fruity and irresistibly delicious.",500 g,5,1500,500,Eggless,Birthday; Anniversary; Celebration,Fruity; Sweet; Creamy,Fruit Lovers; Celebration,4,0
108,KitKat Chocolate Cake,Cake,Chocolate,A rich chocolate cake surrounded by crunchy KitKat pieces and finished with creamy chocolate layers. A fun and indulgent choice for chocolate lovers.,500 g,5,1900,650,Eggless,Birthday; Kids Party; Celebration,Rich; Chocolaty; Crunchy,Kids; Chocolate Lovers,3,0
109,Oreo Cake,Cake,Chocolate & Oreo,"A heavenly Oreo cake combining soft chocolate sponge, creamy Oreo layers and crunchy cookie pieces. Rich, creamy and packed with Oreo flavor.",500 g,5,1850,600,Eggless,Birthday; Kids Party; Celebration,Chocolate; Creamy; Crunchy,Kids; Oreo Lovers,1,0
110,Ferrero Rocher Cake,Cake,Chocolate & Hazelnut,"A luxurious chocolate cake inspired by Ferrero Rocher, featuring rich chocolate layers, creamy filling and delightful hazelnut flavors.",500 g,5,2000,750,Eggless,Anniversary; Birthday; Premium Celebration; Gift,Rich; Chocolaty; Nutty; Creamy,Premium Gift; Chocolate Lovers,7,0
